Educational Level,Estimate
No Schooling Completed,4559188
    Nursery school,57991
    Kindergarten,63833
    1st grade,102948
    2nd grade,214468
    3rd grade,441836
    4th grade,320376
    5th grade,521633
    6th grade,1853041
    7th grade,620491
    8th grade,1938307
    9th grade,2491145
    10th grade,2829685
    11th grade,3307071
"    12th grade, no diploma",4503051
    Regular high school diploma,50800686
    GED or alternative credential,9107976
"    Some college, less than 1 year",14888891
"    Some college, 1 or more years, no degree",28953293
    Associate's degree,20222893
    Bachelor's degree,49641033
    Master's degree,23084092
    Professional school degree,5340172
    Doctorate degree,3843037